Variable,Index,Value
P_gen,"(1, 2, 23)",300.0
P_gen,"(1, 2, 24)",300.0
P_gen,"(1, 2, 25)",300.0
P_gen,"(1, 2, 26)",300.0
P_gen,"(1, 2, 27)",300.0
P_gen,"(1, 2, 28)",119.66690979820083
P_gen,"(1, 2, 29)",300.0
P_gen,"(1, 2, 30)",70.02431315341613
P_gen,"(1, 2, 31)",300.0
P_gen,"(1, 2, 32)",300.0
P_gen,"(1, 2, 33)",300.0
P_gen,"(1, 2, 34)",251.7979576951131
P_gen,"(1, 2, 35)",300.0
P_gen,"(1, 2, 36)",300.0
P_gen,"(1, 2, 37)",300.0
P_gen,"(1, 2, 38)",300.0
P_gen,"(1, 2, 39)",300.0
P_gen,"(1, 2, 40)",300.0
P_gen,"(1, 2, 41)",300.0
P_gen,"(1, 2, 42)",300.0
P_gen,"(1, 2, 43)",300.0
P_gen,"(1, 2, 44)",300.0
P_gen,"(1, 2, 45)",300.0
P_gen,"(1, 2, 46)",300.0
P_gen,"(1, 2, 47)",300.0
P_gen,"(1, 2, 48)",300.0
P_gen,"(1, 2, 49)",300.0
P_gen,"(1, 2, 50)",300.0
P_gen,"(1, 2, 51)",300.0
P_gen,"(1, 2, 52)",300.0
P_gen,"(1, 2, 53)",300.0
P_gen,"(1, 2, 54)",133.32360807196696
P_gen,"(1, 2, 55)",300.0
P_gen,"(1, 2, 56)",300.0
P_gen,"(1, 2, 57)",300.0
P_gen,"(1, 2, 58)",300.0
P_gen,"(1, 2, 59)",300.0
P_gen,"(1, 2, 60)",300.0
P_gen,"(1, 2, 61)",300.0
P_gen,"(1, 2, 62)",300.0
P_gen,"(1, 2, 63)",300.0
P_gen,"(1, 2, 64)",300.0
P_gen,"(1, 2, 65)",300.0
P_gen,"(1, 2, 66)",300.0
P_gen,"(1, 2, 67)",300.0
P_gen,"(1, 2, 68)",300.0
P_gen,"(1, 2, 69)",300.0
P_gen,"(1, 2, 70)",300.0
P_gen,"(1, 2, 71)",300.0
P_gen,"(1, 2, 72)",300.0
P_gen,"(1, 2, 73)",300.0
P_gen,"(1, 2, 74)",300.0
P_gen,"(1, 2, 75)",300.0
P_gen,"(1, 2, 76)",202.55409676635065
P_gen,"(1, 2, 77)",300.0
P_gen,"(1, 2, 78)",300.0
P_gen,"(1, 2, 79)",300.0
P_gen,"(1, 2, 80)",300.0
P_gen,"(1, 2, 81)",300.0
P_gen,"(1, 2, 82)",300.0
P_gen,"(1, 2, 83)",300.0
P_gen,"(1, 2, 84)",300.0
P_gen,"(1, 2, 85)",300.0
P_gen,"(1, 2, 86)",300.0
P_gen,"(1, 2, 87)",300.0
P_gen,"(1, 2, 88)",300.0
P_gen,"(1, 2, 89)",300.0
P_gen,"(1, 2, 90)",300.0
P_gen,"(1, 2, 91)",300.0
P_gen,"(1, 2, 92)",300.0
P_gen,"(1, 2, 93)",300.0
P_gen,"(1, 2, 94)",300.0
P_gen,"(1, 2, 95)",300.0
P_gen,"(1, 2, 96)",300.0
P_gen,"(1, 2, 97)",300.0
P_gen,"(1, 2, 98)",300.0
P_gen,"(1, 2, 99)",300.0
P_gen,"(1, 2, 100)",300.0
P_gen,"(1, 2, 101)",300.0
P_gen,"(1, 2, 102)",300.0
P_gen,"(1, 2, 103)",300.0
P_gen,"(1, 2, 104)",0.0
P_gen,"(1, 2, 105)",300.0
P_gen,"(1, 2, 106)",300.0
P_gen,"(1, 2, 107)",300.0
P_gen,"(1, 2, 108)",300.0
P_gen,"(1, 2, 109)",300.0
P_gen,"(1, 2, 110)",300.0
P_gen,"(1, 2, 111)",300.0
P_gen,"(1, 2, 112)",300.0
P_gen,"(1, 2, 113)",300.0
P_gen,"(1, 2, 114)",300.0
P_gen,"(1, 2, 115)",300.0
P_gen,"(1, 2, 116)",300.0
P_gen,"(1, 2, 117)",300.0
P_gen,"(1, 2, 118)",300.0
P_gen,"(1, 2, 119)",300.0
P_gen,"(1, 2, 120)",300.0
P_gen,"(1, 2, 121)",300.0
P_gen,"(1, 2, 122)",300.0
P_gen,"(1, 2, 123)",300.0
P_gen,"(1, 2, 124)",300.0
P_gen,"(1, 2, 125)",300.0
P_gen,"(1, 2, 126)",187.9254801847799
P_gen,"(1, 2, 127)",150.7932166301971
P_gen,"(1, 2, 128)",131.55421833211767
P_gen,"(1, 2, 129)",179.95076586433277
P_gen,"(1, 2, 130)",300.0
P_gen,"(1, 2, 131)",300.0
P_gen,"(1, 2, 132)",300.0
P_gen,"(1, 3, 1)",38.87186968149766
P_gen,"(1, 3, 2)",0.0
P_gen,"(1, 3, 3)",0.0
P_gen,"(1, 3, 4)",0.0
P_gen,"(1, 3, 5)",0.0
P_gen,"(1, 3, 6)",0.0
P_gen,"(1, 3, 7)",0.0
P_gen,"(1, 3, 8)",0.0
P_gen,"(1, 3, 9)",0.0
P_gen,"(1, 3, 10)",0.0
P_gen,"(1, 3, 11)",0.0
P_gen,"(1, 3, 12)",0.0
P_gen,"(1, 3, 13)",25.7634330172624
P_gen,"(1, 3, 14)",66.63384390955501
